id,fund,e_support,e_vote,s_support,s_vote,g_support,g_vote,fund_manager
48,Priodontes maximus,65,271,92,171,32,509,1
49,Macaca mulatta,25,116,32,44,25,506,3
50,Dusicyon thous,37,226,39,205,96,518,1
51,Diomedea irrorata,87,91,57,21,89,819,3
52,Manouria emys,61,172,74,91,44,761,1
53,Geochelone radiata,98,66,49,446,52,797,1
54,Falco mexicanus,75,374,15,371,99,476,2
55,Mycteria leucocephala,2,42,10,109,78,225,2
56,Lamprotornis chalybaeus,54,387,13,411,45,519,3
57,Odocoileus hemionus,23,16,63,310,75,169,3
58,Myrmecophaga tridactyla,50,32,31,5,85,851,1
59,Geochelone elephantopus,14,298,5,189,27,592,1
60,Hystrix indica,51,203,41,86,57,730,3
61,Iguana iguana,75,362,93,181,19,770,2
62,Delphinus delphis,42,65,59,9,41,676,2
63,Hippotragus equinus,44,306,80,173,6,871,2
64,Streptopelia senegalensis,14,394,50,51,83,35,2
65,Vulpes vulpes,94,351,93,221,0,447,2
66,Cochlearius cochlearius,54,301,67,389,39,341,2
67,Lasiorhinus latifrons,71,332,39,284,28,836,2
68,Pteronura brasiliensis,87,275,75,53,77,768,1
69,Amblyrhynchus cristatus,98,105,29,257,34,85,1
70,Scolopax minor,81,250,81,440,75,469,3
71,Chelodina longicollis,51,240,75,488,80,458,1
72,Tachyglossus aculeatus,78,264,37,481,100,669,3
73,Bugeranus caruncalatus,23,13,0,274,5,165,1
74,Odocoilenaus virginianus,40,117,76,350,69,328,2
75,Pedetes capensis,12,390,45,339,39,880,1
76,Ceratotherium simum,44,307,21,302,56,675,2
77,Fratercula corniculata,33,219,53,368,12,842,1
78,Ovis ammon,74,135,7,382,78,471,3
79,Sarkidornis melanotos,16,217,23,457,18,293,1
80,Dusicyon thous,90,355,48,354,4,381,1
81,Ciconia ciconia,16,386,50,123,54,306,3
82,Ovibos moschatus,84,90,92,365,2,331,1
83,Diomedea irrorata,70,40,71,144,88,158,2
84,Ceratotherium simum,44,276,38,186,73,84,3
85,Eudyptula minor,74,394,44,410,48,787,1
86,Corvus albicollis,0,270,6,140,65,610,1
87,Corvus albus,94,30,84,281,73,90,2
88,Amblyrhynchus cristatus,39,325,14,385,69,390,2
89,Larus dominicanus,69,388,52,162,19,259,3
90,Cercopithecus aethiops,19,171,84,56,15,89,3
91,Uraeginthus angolensis,33,215,44,275,98,410,1
92,Meles meles,43,26,81,105,95,897,3
93,Eolophus roseicapillus,13,358,90,73,53,245,2
94,Otaria flavescens,64,141,15,118,9,408,2
95,Bubulcus ibis,74,141,59,198,68,821,2
96,Canis lupus,46,381,19,146,15,311,2
97,Felis concolor,0,193,21,141,61,654,1
98,Manouria emys,5,331,89,276,0,797,3
99,Panthera tigris,75,241,38,93,14,449,3
100,Melursus ursinus,35,294,31,394,76,121,1
101,Cordylus giganteus,51,166,100,21,80,562,3
102,Manouria emys,98,94,16,329,31,656,2
103,Elephas maximus bengalensis,47,106,32,461,18,607,2
104,Antidorcas marsupialis,52,360,52,499,73,409,2
105,Bassariscus astutus,55,325,88,1,0,564,3
106,Mazama gouazoubira,82,317,43,460,96,859,2
107,Geococcyx californianus,66,400,29,243,41,459,2
108,Varanus salvator,91,201,1,259,86,125,3
109,Uraeginthus granatina,36,200,73,210,1,19,3
110,Paroaria gularis,6,284,17,199,25,672,2
111,Ammospermophilus nelsoni,5,271,99,287,66,524,1
112,Carduelis pinus,67,390,53,272,65,478,2
113,Corvus brachyrhynchos,97,287,39,239,48,264,2
114,Equus hemionus,29,181,22,193,31,524,1
115,Acrantophis madagascariensis,0,97,54,56,94,585,2
116,Dasyurus viverrinus,86,10,58,416,34,615,1
117,Nesomimus trifasciatus,81,178,21,421,59,685,3
118,unavailable,1,241,21,228,71,193,2
119,Cynictis penicillata,2,159,46,204,16,134,2
120,Anthropoides paradisea,36,35,43,251,2,127,2
121,Corvus albicollis,28,250,30,279,72,28,1
122,Coluber constrictor,35,11,74,175,9,768,1
123,Chordeiles minor,43,285,43,288,26,564,1
124,Antechinus flavipes,22,7,19,298,86,2,1
125,Neotoma sp.,14,377,80,309,13,546,1
126,Vanellus chilensis,76,368,3,73,8,255,2
127,Trichoglossus haematodus moluccanus,18,101,9,325,77,503,2
128,Mazama americana,7,213,98,101,58,105,1
129,Neotoma sp.,39,54,29,51,37,850,2
130,Spermophilus parryii,17,66,57,227,49,341,1
131,Tachyglossus aculeatus,81,205,21,282,24,539,1
132,unavailable,100,372,85,218,46,598,2
133,Ciconia ciconia,43,197,63,134,53,512,3
134,Lama glama,71,276,53,398,40,610,3
135,Colobus guerza,26,165,80,235,41,777,1
136,Alopochen aegyptiacus,32,37,15,193,10,670,2
137,Laniaurius atrococcineus,6,264,70,274,9,537,3
138,Varanus komodensis,85,389,95,110,39,738,3
139,Cordylus giganteus,95,125,39,85,28,847,2
140,Fratercula corniculata,15,107,75,401,72,71,3
141,Antilope cervicapra,93,107,1,350,16,387,2
142,unavailable,38,273,90,307,2,213,2
143,unavailable,18,155,47,360,99,632,1
144,Odocoileus hemionus,1,300,71,127,28,121,2
145,Snycerus caffer,65,117,13,183,21,806,1
146,Varanus komodensis,76,164,75,337,51,872,3
147,Pterocles gutturalis,94,270,50,40,8,875,3
148,Diomedea irrorata,3,100,47,172,42,488,3
149,Lutra canadensis,32,45,2,262,3,608,3
150,Lama glama,100,138,85,453,99,64,1
151,Gazella thompsonii,75,203,59,275,29,457,2
152,Diceros bicornis,14,136,61,6,44,677,1
153,Tragelaphus strepsiceros,5,180,100,114,36,182,2
154,Taurotagus oryx,31,249,4,228,37,680,2
155,Bettongia penicillata,71,23,32,263,50,486,3
156,Cyrtodactylus louisiadensis,94,230,7,279,28,138,3
157,Neotis denhami,67,332,39,216,63,70,3
158,Papio ursinus,16,24,65,163,88,841,1
159,Gorilla gorilla,59,379,65,94,20,11,3
160,Bos taurus,66,79,73,334,44,880,3
161,Equus burchelli,3,66,94,292,28,190,2
162,Macropus rufus,29,97,10,43,86,508,1
163,Graspus graspus,79,292,14,116,4,450,1
164,Isoodon obesulus,96,77,86,316,18,156,3
165,Butorides striatus,97,343,54,327,17,414,3
166,Ephipplorhynchus senegalensis,46,256,39,360,4,830,2
167,Ictalurus furcatus,38,115,100,433,73,655,2
168,Vulpes vulpes,5,164,79,2,21,246,3
169,Deroptyus accipitrinus,40,185,52,416,16,774,2
170,Trichosurus vulpecula,74,100,17,145,29,121,1
171,Canis lupus lycaon,78,400,77,125,51,390,1
172,Ictalurus furcatus,53,205,19,145,56,447,1
173,Boa constrictor mexicana,37,155,3,493,99,316,3
174,Canis mesomelas,22,305,33,302,60,846,1
175,Nannopterum harrisi,66,15,68,497,77,266,2
176,Nycticorax nycticorax,40,126,10,441,47,249,2
177,Ciconia episcopus,18,128,46,428,5,385,2
178,Ceryle rudis,19,57,34,467,35,535,1
179,Spizaetus coronatus,94,190,15,405,73,708,3
180,Ratufa indica,94,312,16,452,95,705,3
181,Felis rufus,64,298,89,212,15,520,3
182,Microcebus murinus,6,71,91,167,15,116,1
183,Dromaeus novaehollandiae,79,37,8,402,95,644,3
184,Trichosurus vulpecula,33,118,68,108,8,318,2
185,Papio cynocephalus,94,301,9,476,77,577,3
186,Tursiops truncatus,17,382,15,14,14,22,2
187,Ardea golieth,61,252,1,343,46,191,1
188,Ursus americanus,83,336,25,414,16,436,1
189,Sitta canadensis,30,334,38,451,48,487,3
190,unavailable,93,168,53,288,55,77,2
191,Macaca nemestrina,49,378,8,265,91,662,2
192,Francolinus coqui,1,376,77,350,17,158,1
193,Vanessa indica,4,323,76,387,14,829,1
194,Capreolus capreolus,33,55,18,494,31,242,2
195,Giraffe camelopardalis,18,229,60,467,25,565,2
196,Larus dominicanus,79,390,19,304,55,252,1
197,Phasianus colchicus,47,144,87,368,38,30,2
198,Paroaria gularis,53,94,91,158,11,797,2
199,Upupa epops,9,58,81,487,80,706,1
200,Theropithecus gelada,87,263,29,106,66,142,3
