id,fund,e_support,e_vote,s_support,s_vote,g_support,g_vote,fund_manager,fund_is_esg
57,Aegypius tracheliotus,96,266,48,453,44,80,2,1
58,Uraeginthus granatina,18,366,15,346,43,613,2,0
59,Recurvirostra avosetta,65,177,64,381,6,733,0,1
60,Phascogale calura,84,215,53,267,59,89,0,0
61,Tayassu tajacu,7,385,85,370,77,831,1,1
62,Microcebus murinus,30,145,47,413,72,567,0,1
63,Odocoilenaus virginianus,37,373,57,267,9,826,0,0
64,Spheniscus magellanicus,44,7,72,441,14,847,2,0
65,Acrobates pygmaeus,76,356,90,378,5,661,1,0
66,Pitangus sulphuratus,23,345,71,56,73,355,1,0
67,Pandon haliaetus,65,272,36,179,23,508,0,1
68,Panthera tigris,63,358,59,246,78,538,1,1
69,Upupa epops,93,154,80,181,33,405,0,1
70,Zenaida asiatica,22,84,77,43,50,409,0,1
71,Callorhinus ursinus,2,126,13,372,55,608,1,0
72,Petaurus norfolcensis,37,20,59,403,15,899,2,1
73,Cracticus nigroagularis,10,11,68,324,39,692,2,0
74,Otaria flavescens,10,142,38,122,43,374,0,0
75,Marmota flaviventris,31,195,9,189,14,771,1,1
76,Butorides striatus,14,140,78,335,41,125,2,1
77,Spheniscus mendiculus,28,79,92,428,40,129,2,0
78,Physignathus cocincinus,70,316,2,374,4,296,1,0
79,Cynictis penicillata,39,249,16,52,71,580,1,1
80,Panthera pardus,60,253,23,14,54,629,1,1
81,Felis libyca,39,70,72,175,69,640,1,1
82,Myiarchus tuberculifer,94,328,41,127,21,846,2,0
83,Sarkidornis melanotos,99,57,51,219,92,484,2,1
84,Camelus dromedarius,39,338,55,222,36,352,2,0
85,Canis aureus,42,261,26,278,52,697,2,0
86,Neophron percnopterus,65,48,33,438,89,35,0,0
87,Meleagris gallopavo,75,102,52,334,39,765,2,0
88,Macropus fuliginosus,93,248,20,12,32,372,2,1
89,Helogale undulata,31,34,32,198,27,417,2,0
90,Acrantophis madagascariensis,37,126,92,153,16,78,2,0
91,Ratufa indica,1,297,78,162,59,505,0,1
92,Phalaropus lobatus,74,98,56,382,14,598,1,1
93,Alligator mississippiensis,26,95,41,384,52,15,2,0
94,Plegadis falcinellus,22,70,89,109,54,737,2,1
95,Otocyon megalotis,48,95,30,286,78,264,2,1
96,Panthera tigris,57,23,87,427,71,631,0,1
97,Centrocercus urophasianus,79,277,45,308,93,875,0,0
98,Tamiasciurus hudsonicus,95,43,9,461,12,113,1,1
99,Tenrec ecaudatus,41,391,73,217,43,71,2,0
100,Mirounga angustirostris,33,234,82,440,67,534,2,0
101,Pituophis melanaleucus,9,42,86,295,6,299,0,0
102,unavailable,35,131,8,209,66,78,0,0
103,Bettongia penicillata,72,173,90,31,56,439,0,0
104,unavailable,32,227,8,264,57,875,2,1
105,Lama guanicoe,40,139,14,51,13,42,0,0
106,Ciconia episcopus,56,75,29,184,4,334,0,0
107,Lycosa godeffroyi,32,365,92,422,80,319,1,1
108,Paradoxurus hermaphroditus,65,369,88,439,13,187,0,0
109,Canis dingo,50,173,11,486,78,363,1,0
110,Plocepasser mahali,32,228,39,142,98,325,0,0
111,Mustela nigripes,3,63,46,381,3,615,0,0
112,Tamandua tetradactyla,90,24,28,52,97,41,2,1
113,Damaliscus dorcas,17,173,8,333,89,59,0,0
114,Ammospermophilus nelsoni,10,312,46,75,56,553,0,1
115,Redunca redunca,25,133,49,27,65,697,2,1
116,Cyrtodactylus louisiadensis,76,377,87,468,49,671,2,1
117,Dendrocitta vagabunda,77,231,6,281,81,477,1,0
118,Ursus maritimus,92,93,68,24,63,424,0,0
119,Bucephala clangula,96,271,13,203,81,199,0,0
120,Felis yagouaroundi,39,119,91,39,46,801,1,0
121,Ardea cinerea,58,218,88,444,34,469,1,0
122,Francolinus coqui,68,253,71,482,45,42,0,1
123,unavailable,31,258,50,478,28,568,1,1
124,Semnopithecus entellus,96,252,85,336,68,897,0,1
125,Varanus salvator,7,251,80,479,85,801,2,0
126,Podargus strigoides,7,352,12,376,76,574,1,0
127,Phascogale calura,32,68,100,85,3,896,2,1
128,Macropus rufogriseus,18,81,81,124,22,199,2,0
129,Macropus parryi,86,44,19,15,13,368,2,0
130,Macaca mulatta,80,160,52,132,51,13,0,0
131,Struthio camelus,97,365,5,38,47,135,1,0
132,Oryx gazella callotis,69,2,25,355,59,133,1,0
133,Pycnonotus barbatus,12,152,9,236,60,781,0,1
134,unavailable,32,297,31,53,53,827,0,0
135,Ephipplorhynchus senegalensis,7,269,43,465,95,325,2,1
136,Felis concolor,44,106,55,468,45,668,1,0
137,Tyto novaehollandiae,55,135,72,469,29,190,2,1
138,Spilogale gracilis,0,304,82,486,34,818,2,0
139,Zosterops pallidus,13,95,82,237,29,21,1,0
140,Bettongia penicillata,69,86,93,176,48,465,2,0
141,Alopochen aegyptiacus,87,363,86,1,80,513,2,0
142,Larus fuliginosus,98,219,19,425,2,675,1,1
143,Eremophila alpestris,83,1,1,458,3,665,1,1
144,Tayassu pecari,3,130,37,229,57,41,1,0
145,Pycnonotus nigricans,50,244,69,108,86,858,2,1
146,Oryx gazella callotis,20,112,48,178,2,748,1,1
147,Macropus rufogriseus,91,217,76,253,0,121,1,1
148,Pycnonotus nigricans,33,84,31,262,90,130,2,0
149,Ovis orientalis,45,321,57,126,8,24,2,0
150,Eubalaena australis,21,370,2,272,63,226,0,1
151,Eolophus roseicapillus,62,202,4,43,23,386,2,0
152,Genetta genetta,80,334,53,185,45,703,0,1
153,Lama glama,82,58,84,33,26,399,0,1
154,Turtur chalcospilos,14,262,76,469,12,711,1,0
155,Branta canadensis,4,353,64,267,81,267,0,1
156,Mabuya spilogaster,82,173,60,110,72,105,2,1
157,Nasua nasua,66,273,100,447,34,781,0,1
158,Colobus guerza,81,104,90,317,86,180,1,1
159,Tapirus terrestris,94,128,54,420,2,85,2,0
160,Sus scrofa,79,263,61,489,32,619,2,0
161,Iguana iguana,32,324,89,64,5,422,2,1
162,Coluber constrictor foxii,77,180,54,92,99,550,0,0
163,Connochaetus taurinus,68,10,65,500,15,361,0,0
164,Vulpes chama,53,163,60,66,35,401,2,1
165,Bison bison,31,69,40,246,48,379,2,1
166,Lamprotornis superbus,55,303,68,453,36,659,2,0
167,Sciurus vulgaris,3,219,91,386,15,645,0,0
168,Rhea americana,2,140,55,97,11,740,2,0
169,Cacatua tenuirostris,54,133,17,240,0,766,1,1
170,Pseudocheirus peregrinus,7,220,83,24,80,746,1,1
171,Spermophilus lateralis,93,182,49,244,87,256,2,0
172,Taurotagus oryx,36,303,50,407,100,576,1,1
173,Cebus apella,72,249,45,312,32,111,0,1
174,Bubalus arnee,2,103,53,485,77,493,2,1
175,Spizaetus coronatus,16,379,62,351,99,595,2,0
176,Tursiops truncatus,99,223,53,383,15,128,0,1
177,Mirounga angustirostris,69,73,60,29,65,263,1,0
178,Nesomimus trifasciatus,66,163,64,110,7,687,1,0
179,Spilogale gracilis,50,57,8,72,89,289,0,0
180,Anthropoides paradisea,11,8,13,382,19,484,2,0
181,Pycnonotus nigricans,10,197,87,119,59,336,2,0
182,Eolophus roseicapillus,30,208,92,375,89,261,2,0
183,unavailable,29,137,68,497,34,194,1,1
184,Colobus guerza,43,324,47,136,59,294,2,0
185,Spermophilus tridecemlineatus,20,321,85,338,80,36,2,0
186,Hymenolaimus malacorhynchus,94,144,90,22,11,746,0,0
187,Varanus komodensis,43,390,47,83,33,825,0,0
188,Neotis denhami,9,63,34,19,41,257,0,0
189,Varanus salvator,56,255,12,324,96,482,2,0
190,Macropus agilis,60,93,88,174,62,576,1,0
191,Ovis ammon,74,328,57,498,64,721,0,0
192,Castor canadensis,66,152,64,133,30,74,0,0
193,Platalea leucordia,92,85,22,121,85,762,2,0
194,Bassariscus astutus,55,70,77,371,28,788,1,1
195,Ursus americanus,95,221,10,276,49,415,1,1
196,Dasypus novemcinctus,97,123,1,283,26,439,1,0
197,Terrapene carolina,32,222,52,179,4,862,1,0
198,Bettongia penicillata,57,280,83,322,2,355,0,1
199,Camelus dromedarius,72,91,11,217,39,734,1,1
200,Zosterops pallidus,93,141,23,227,22,11,1,1
